,SciName,PopName,id
0,Panthera Pardus,Leopard,1446
1,Dugong Dugong,Dugong,1952
2,Tursiops Truncatus,Bottlenose dolphin,2001
3,Aplysia Californica,California sea hare,2246
4,Tinamiformes,Tinamous,3352
5,Lagomorpha,"Hares, rabbits and pikas",3877
6,Cavia Porcellus,Guinea pig,5207
7,Xenarthra,Xenarthrans,7686
8,Dendrobates Auratus,Green poison dart frog,8115
9,Orcinus Orca,Orca,9369
10,Falconiformes,Birds of prey,9392
11,Anura,Frogs and toads,9815
12,Diomedea Exulans,Wandering albatross,10385
13,Vombatus Ursinus,Wombat,13236
14,Anser Indicus,Bar-headed goose,13423
15,Strigiformes,Owls,15071
16,Heloderma Suspectum,Gila monster,15503
17,Panthera Onca,Panther,16250
18,Tytonidae,Barn owls,16284
19,Daubentonia Madagascariensis,Aye-aye,17060
20,Ailuropoda Melanoleuca,Giant panda,18311
21,Capra Aegagrus Hircus,Goat,18446
22,Hippopotamus Amphibus,Hippopotamus,18879
23,Didelphis Virginiana,Oppossum,19269
24,Elephas Maximus,Asiatic elephant,19373
25,Caracal Caracal,Caracal,21037
26,Pygoscelis Adeliae,Adélie penguin,21708
27,Microlophus Albemarlensis,Lava lizard,21728
28,Conolophus Subcristatus,Galapagos land iguana,22009
29,Campephilus Principalis,Ivory-billed woodpecker,24440
30,Agalychnis Callidryas,Red-eyed tree frog,24520
31,Dermochelys Coriacea,Leatherback sea turtle,25461
32,Cnidaria,Cnidaria,26264
33,Erithacus Rubecula,European robin,28278
34,Helogale Parvula,Mongoose,31319
35,Varanus Indicus,Monitor lizard,33373
36,Scyphozoa,Jellyfish,33451
37,Aves,Birds,34326
38,Mustelidae,Mustelids,34582
39,Cepphus Columba,Pigeon guillemot,34662
40,Propithecus Tattersalli,Golden-crowned sifaka,34978
41,Tapiridae,Tapirs,35434
42,Canidae,Canids,35514
43,Chelonia Mydas,Green sea turtle,35720
44,Cyclura Cornuta,Rhinoceros iguana,36320
45,Bufo Bufo,European common toad,36867
46,Crocodilia,Crocodilians,37604
47,Platalea Ajaja,Roseate spoonbill,37780
48,Blattaria,Cockroach,38740
49,Amphibia,Amphibians,38995
50,Pterois Volitans,Firefish or lionfish,39303
51,Ramphastos Sulfuratus,Keel-billed toucan,39557
52,Meles Meles,European badger,39871
53,Aegypius Monachus,Vulture,40298
54,Castor Canadensis,American beaver,40316
55,Insecta,Insects,40441
56,Bison Bison,American bison,40643
57,Isoptera,Termite,41296
58,Gallus Gallus,Chicken,42540
59,Baeolophus Bicolor,Tufted titmouse,42552
60,Uroplatus,Leaf-tailed gecko,42784
61,Arthropoda,Arthropoods,46561
62,Chiroptera,Bats,48297
63,Gavialis Gangeticus,Gavial,48564
64,Sphenodontida,Tuataras,51574
65,Eretmochelys Imbricata,Hawksbill sea turtle,52407
66,Acinonyx Jubatus,Cheetah,54807
67,Branta Sandvicensis,Nene goose,55062
68,Ornithorhynchus Anatinus,Platypus,55479
69,Giraffa Camelopardalis,Giraffe,55828
70,Suidae,Pigs,56578
71,Vespa Mandarinia,Asian giant hornet,57055
72,Antilocapra Americana,Pronghorn,57148
73,Canis Lupus Arctos,Arctic wolf,57403
74,Phascolarctos Cinereus,Koala,57808
75,Trochilidae,Hummingbirds,58417
76,Danaus Plexippus,Monarch butterfly,58713
77,Mollusca,Mollusks,60171
78,Chordata,Chordates,63261
79,Carnivora,Carnivores,63429
80,Achatina,Snail,66687
81,Lagenorhynchus Obscurus,Dusky dolphin,66888
82,Ursus Americanus,American black bear,68053
83,Equus Caballus Przewalskii,Przewalski's wild horse,68677
84,Panthera Uncia,Snow leopard,69269
85,Tragelaphus Oryx,Eland antelope,71010
86,Bos Taurus,Highland Cattle,71536
87,Marsupialia,Marsupials,72305
88,Carcharodon Carcharias,Great white shark,72500
89,Pteropus Rodricensis,Rodriguez flying fox,73182
90,Chondrichthyes,Cartilaginous fishes,74326
91,Octopus Vugaris,Octopus,74624
92,Fratercula Arctica,Atlantic puffin,77212
93,Anseriformes,Waterfowl,77244
94,Eudocimus Ruber,Scarlet ibis,77652
95,Metazoa,Animals,78030
96,Panthera Pardus Orientalis,Amur leopard,78443
97,Amblyrhynchus Cristatus,Marine iguana,79075
98,Gymnophiona,Caecilians,79419
99,Ciconiiformes,"Herons, storks, ibises and spoonbills",80574
100,Geochelone Nigra,Galapagos tortoise,80988
101,Orcaella Brevirostris,Irrawaddy dolphin,82925
